onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
128.101	1.085	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg	54
129.502	1.152	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg	55
130.969	1.319	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg	56
133.044	2.084	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a	57
138.038	1.118	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_581.jpg	57
139.472	0.876	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_349.jpg	58
140.656	0.809	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_159.jpg	59
141.773	1.093	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_111.jpg	60
143.174	0.985	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_627.jpg	61
144.474	1.292	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_167.jpg	62
146.075	1.085	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_027.jpg	63
147.475	0.874	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_091.jpg	64
150.834	2.084	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a	65
155.828	0.737	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_170.jpg	65
156.879	0.853	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg	66
158.046	0.72	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_126.jpg	67
159.079	0.869	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_003.jpg	68
160.263	0.736	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_502.jpg	69
161.314	1.135	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_136.jpg	70
162.764	1.001	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg	71
164.081	0.868	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_261.jpg	72
168.724	2.084	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a	73
173.718	0.685	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg	73
174.719	0.851	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg	74
175.886	1.218	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg	75
177.42	1.129	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_189.jpg	76
178.854	0.818	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg	77
179.987	1.162	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg	78
181.455	0.894	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg	79
182.655	0.911	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg	80
186.781	2.101	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a	81
191.792	0.54	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_403.jpg	81
192.642	0.518	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_086.jpg	82
193.476	0.506	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_844.jpg	83
194.293	0.723	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_544.jpg	84
195.326	0.639	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_776.jpg	85
