onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
591.042	1.554	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg
592.909	0.736	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_695.jpg
0.096	2.017	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a
0.096	0.3	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a
17.536	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a
17.536	0.3	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a
36.643	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a
36.643	0.3	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a
55.617	2.101	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a
55.617	0.3	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a
73.14	2.101	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a
73.14	0.3	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a
95.632	2.101	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a
95.632	0.3	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a
113.505	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a
113.505	0.3	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a
131.028	2.101	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a
131.028	0.3	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a
150.135	2.101	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a
150.135	0.3	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a
167.975	2.101	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a
167.975	0.3	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a
185.865	2.101	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a
