onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
389.316	0.818	rating	0.9798	sex	pleasure	female	African	old	n/a
389.366	0.768	rating_mouse_trajectory	0.9798	sex	pleasure	female	African	old	n/a
391.231	1.303	face	n/a	sex	disgust	male	EA	old	task-faces/4Disgust_Model2_2Male_2EA_2Old.mp4
392.534	0.827	rating	0.0	sex	disgust	male	EA	old	n/a
392.634	0.727	rating_mouse_trajectory	0.0	sex	disgust	male	EA	old	n/a
396.441	1.311	face	n/a	sex	disgust	female	African	old	task-faces/4Disgust_Model5_1Female_3African_2Old.mp4
397.753	0.941	rating	0.0	sex	disgust	female	African	old	n/a
397.819	0.875	rating_mouse_trajectory	0.0	sex	disgust	female	African	old	n/a
400.677	1.311	face	n/a	sex	fear	female	EA	young	task-faces/3Fear_Model1_1Female_2EA_1Young.mp4
401.988	1.44	rating	1.0	sex	fear	female	EA	young	n/a
402.054	1.373	rating_mouse_trajectory	1.0	sex	fear	female	EA	young	n/a
405.916	1.307	face	n/a	sex	fear	female	WC	old	task-faces/3Fear_Model5_1Female_1WC_2Old.mp4
407.223	0.788	rating	0.0162	sex	fear	female	WC	old	n/a
407.456	0.555	rating_mouse_trajectory	0.0162	sex	fear	female	WC	old	n/a
410.147	1.311	face	n/a	sex	anger	female	WC	old	task-faces/5Anger_Model4_1Female_1WC_2Old.mp4
411.458	0.72	rating	0.0	sex	anger	female	WC	old	n/a
411.808	0.37	rating_mouse_trajectory	0.0	sex	anger	female	WC	old	n/a
413.363	1.312	face	n/a	sex	anger	male	African	young	task-faces/5Anger_Model5_2Male_3African_1Young.mp4
414.676	0.669	rating	0.9939	sex	anger	male	African	young	n/a
414.826	0.519	rating_mouse_trajectory	0.9939	sex	anger	male	African	young	n/a
416.579	1.314	face	n/a	sex	happy	female	WC	old	task-faces/1Happy_Model2_1Female_1WC_2Old.mp4
417.893	0.518	rating	0.0	sex	happy	female	WC	old	n/a
417.977	0.435	rating_mouse_trajectory	0.0	sex	happy	female	WC	old	n/a
