onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
277.763	1.312	face	n/a	sex	surprise	female	EA	young	task-faces/2Surprise_Model5_1Female_2EA_1Young.mp4
279.075	0.885	rating	0.6663	sex	surprise	female	EA	young	n/a
279.459	0.501	rating_mouse_trajectory	0.6663	sex	surprise	female	EA	young	n/a
280.979	1.314	face	n/a	sex	happy	female	African	young	task-faces/1Happy_Model3_1Female_3African_1Young.mp4
282.293	0.785	rating	0.0	sex	happy	female	African	young	n/a
282.71	0.368	rating_mouse_trajectory	0.0	sex	happy	female	African	young	n/a
285.217	2.045	face	n/a	sex	pleasure	male	African	old	task-faces/8Pleasure_Model3_2Male_3African_2Old.mp4
287.262	0.685	rating	0.0	sex	pleasure	male	African	old	n/a
287.529	0.418	rating_mouse_trajectory	0.0	sex	pleasure	male	African	old	n/a
290.181	1.315	face	n/a	sex	surprise	male	African	young	task-faces/2Surprise_Model5_2Male_3African_1Young.mp4
291.497	0.702	rating	0.0	sex	surprise	male	African	young	n/a
291.813	0.385	rating_mouse_trajectory	0.0	sex	surprise	male	African	young	n/a
293.402	1.313	face	n/a	sex	disgust	male	WC	old	task-faces/4Disgust_Model2_2Male_1WC_2Old.mp4
294.715	0.651	rating	0.0	sex	disgust	male	WC	old	n/a
295.048	0.318	rating_mouse_trajectory	0.0	sex	disgust	male	WC	old	n/a
298.621	1.312	face	n/a	sex	anger	male	EA	young	task-faces/5Anger_Model2_2Male_2EA_1Young.mp4
299.933	0.735	rating	0.0534	sex	anger	male	EA	young	n/a
300.25	0.418	rating_mouse_trajectory	0.0534	sex	anger	male	EA	young	n/a
302.84	1.311	face	n/a	sex	anger	male	WC	young	task-faces/5Anger_Model1_2Male_1WC_1Young.mp4
304.151	0.924	rating	0.646	sex	anger	male	WC	young	n/a
304.618	0.458	rating_mouse_trajectory	0.646	sex	anger	male	WC	young	n/a
307.076	1.311	face	n/a	sex	happy	male	EA	old	task-faces/1Happy_Model3_2Male_2EA_2Old.mp4
308.386	0.773	rating	0.0	sex	happy	male	EA	old	n/a
308.753	0.406	rating_mouse_trajectory	0.0	sex	happy	male	EA	old	n/a
310.309	2.046	face	n/a	sex	pleasure	female	WC	young	task-faces/8Pleasure_Model5_1Female_1WC_1Young.mp4
312.355	0.905	rating	0.0	sex	pleasure	female	WC	young	n/a
312.688	0.572	rating_mouse_trajectory	0.0	sex	pleasure	female	WC	young	n/a
314.263	1.31	face	n/a	sex	fear	female	African	old	task-faces/3Fear_Model3_1Female_3African_2Old.mp4
315.572	0.754	rating	0.0	sex	fear	female	African	old	n/a
315.906	0.42	rating_mouse_trajectory	0.0	sex	fear	female	African	old	n/a
318.498	1.309	face	n/a	sex	fear	female	EA	old	task-faces/3Fear_Model4_1Female_2EA_2Old.mp4
319.807	1.119	rating	0.7128	sex	fear	female	EA	old	n/a
320.174	0.752	rating_mouse_trajectory	0.7128	sex	fear	female	EA	old	n/a
322.714	1.312	face	n/a	sex	sad	female	EA	old	task-faces/6Sad_Model3_1Female_2EA_2Old.mp4
324.026	1.102	rating	0.7714	sex	sad	female	EA	old	n/a
324.426	0.702	rating_mouse_trajectory	0.7714	sex	sad	female	EA	old	n/a
326.932	1.312	face	n/a	sex	disgust	female	EA	old	task-faces/4Disgust_Model5_1Female_2EA_2Old.mp4
328.244	1.435	rating	0.8908	sex	disgust	female	EA	old	n/a
328.527	1.152	rating_mouse_trajectory	0.8908	sex	disgust	female	EA	old	n/a
330.164	1.314	face	n/a	sex	sad	male	EA	old	task-faces/6Sad_Model1_2Male_2EA_2Old.mp4
331.478	0.751	rating	0.0	sex	sad	male	EA	old	n/a
331.795	0.435	rating_mouse_trajectory	0.0	sex	sad	male	EA	old	n/a
335.402	2.045	face	n/a	sex	pain	male	EA	old	task-faces/7Pain_Model3_2Male_2EA_2Old.mp4
337.447	1.552	rating	0.0	sex	pain	male	EA	old	n/a
337.831	1.169	rating_mouse_trajectory	0.0	sex	pain	male	EA	old	n/a
340.364	1.318	face	n/a	sex	sad	male	WC	old	task-faces/6Sad_Model2_2Male_1WC_2Old.mp4
341.682	0.718	rating	0.0	sex	sad	male	WC	old	n/a
341.982	0.418	rating_mouse_trajectory	0.0	sex	sad	male	WC	old	n/a
345.588	1.313	face	n/a	sex	fear	male	EA	young	task-faces/3Fear_Model4_2Male_2EA_1Young.mp4
346.901	0.668	rating	0.0	sex	fear	male	EA	young	n/a
347.151	0.418	rating_mouse_trajectory	0.0	sex	fear	male	EA	young	n/a
349.825	2.045	face	n/a	sex	pleasure	male	African	young	task-faces/8Pleasure_Model3_2Male_3African_1Young.mp4
351.869	0.84	rating	0.0	sex	pleasure	male	African	young	n/a
352.269	0.44	rating_mouse_trajectory	0.0	sex	pleasure	male	African	young	n/a
354.793	1.311	face	n/a	sex	sad	male	African	young	task-faces/6Sad_Model4_2Male_3African_1Young.mp4
356.104	0.789	rating	0.0	sex	sad	male	African	young	n/a
356.404	0.489	rating_mouse_trajectory	0.0	sex	sad	male	African	young	n/a
360.028	2.045	face	n/a	sex	pain	male	EA	young	task-faces/7Pain_Model1_2Male_2EA_1Young.mp4
362.073	0.686	rating	0.0	sex	pain	male	EA	young	n/a
362.323	0.436	rating_mouse_trajectory	0.0	sex	pain	male	EA	young	n/a
363.997	1.311	face	n/a	sex	disgust	male	EA	young	task-faces/4Disgust_Model4_2Male_2EA_1Young.mp4
365.308	0.702	rating	0.0	sex	disgust	male	EA	young	n/a
365.641	0.369	rating_mouse_trajectory	0.0	sex	disgust	male	EA	young	n/a
367.211	1.314	face	n/a	sex	happy	female	EA	old	task-faces/1Happy_Model3_1Female_2EA_2Old.mp4
368.526	0.701	rating	0.7128	sex	happy	female	EA	old	n/a
368.759	0.468	rating_mouse_trajectory	0.7128	sex	happy	female	EA	old	n/a
372.432	1.312	face	n/a	sex	fear	male	EA	old	task-faces/3Fear_Model4_2Male_2EA_2Old.mp4
373.744	0.668	rating	0.0	sex	fear	male	EA	old	n/a
374.044	0.368	rating_mouse_trajectory	0.0	sex	fear	male	EA	old	n/a
376.664	1.315	face	n/a	sex	sad	male	African	old	task-faces/6Sad_Model1_2Male_3African_2Old.mp4
377.979	0.685	rating	0.0	sex	sad	male	African	old	n/a
378.262	0.401	rating_mouse_trajectory	0.0	sex	sad	male	African	old	n/a
380.898	1.316	face	n/a	sex	anger	female	African	old	task-faces/5Anger_Model2_1Female_3African_2Old.mp4
382.214	0.635	rating	0.0	sex	anger	female	African	old	n/a
382.431	0.418	rating_mouse_trajectory	0.0	sex	anger	female	African	old	n/a
387.121	2.046	face	n/a	sex	pleasure	female	African	old	task-faces/8Pleasure_Model5_1Female_3African_2Old.mp4
389.167	0.668	rating	0.0	sex	pleasure	female	African	old	n/a
389.417	0.418	rating_mouse_trajectory	0.0	sex	pleasure	female	African	old	n/a
391.072	1.312	face	n/a	sex	disgust	male	EA	old	task-faces/4Disgust_Model2_2Male_2EA_2Old.mp4
392.384	0.908	rating	0.6663	sex	disgust	male	EA	old	n/a
392.868	0.425	rating_mouse_trajectory	0.6663	sex	disgust	male	EA	old	n/a
396.308	1.312	face	n/a	sex	disgust	female	African	old	task-faces/4Disgust_Model5_1Female_3African_2Old.mp4
397.62	0.773	rating	0.0	sex	disgust	female	African	old	n/a
397.886	0.506	rating_mouse_trajectory	0.0	sex	disgust	female	African	old	n/a
400.543	1.311	face	n/a	sex	fear	female	EA	young	task-faces/3Fear_Model1_1Female_2EA_1Young.mp4
401.855	0.905	rating	1.0	sex	fear	female	EA	young	n/a
402.205	0.555	rating_mouse_trajectory	1.0	sex	fear	female	EA	young	n/a
405.764	1.309	face	n/a	sex	fear	female	WC	old	task-faces/3Fear_Model5_1Female_1WC_2Old.mp4
407.073	0.903	rating	0.6744	sex	fear	female	WC	old	n/a
407.357	0.619	rating_mouse_trajectory	0.6744	sex	fear	female	WC	old	n/a
409.981	1.31	face	n/a	sex	anger	female	WC	old	task-faces/5Anger_Model4_1Female_1WC_2Old.mp4
411.291	1.435	rating	0.7431	sex	anger	female	WC	old	n/a
411.691	1.035	rating_mouse_trajectory	0.7431	sex	anger	female	WC	old	n/a
413.196	1.314	face	n/a	sex	anger	male	African	young	task-faces/5Anger_Model5_2Male_3African_1Young.mp4
414.509	0.685	rating	0.0	sex	anger	male	African	young	n/a
414.843	0.351	rating_mouse_trajectory	0.0	sex	anger	male	African	young	n/a
416.432	1.312	face	n/a	sex	happy	female	WC	old	task-faces/1Happy_Model2_1Female_1WC_2Old.mp4
417.744	0.968	rating	0.0	sex	happy	female	WC	old	n/a
418.077	0.635	rating_mouse_trajectory	0.0	sex	happy	female	WC	old	n/a
